2024-09-21 20:28:19 root         INFO     Starting GetRecords Consumer
2024-09-21 20:28:20 root         INFO     Produced record 49656053247390747322299060887152441387648220829698752514 to Shard shardId-000000000000


2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '6ecff37a-4856-4f65-a355-ef83c1d93c41', 'customer_number': 410, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': 50526, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S18_4668', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_1046', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S32_3522', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_2841', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884161759757132062763994054658
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '6ecff37a-4856-4f65-a355-ef83c1d93c41', 'customer_number': 410, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': 50526, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S18_4668', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S24_1046', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S32_3522', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_2841', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 468292), 'overall_product_quantity': 32, 'overall_in_shopping_cart': 10, 'total_different_products': 5}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'be1b4227-0bfe-4a35-a705-2b38df0fb380', 'customer_number': 118, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 119027, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '4', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884166595460410522655082414082
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': 'be1b4227-0bfe-4a35-a705-2b38df0fb380', 'customer_number': 118, 'city': 'Bräcke', 'country': 'Sweden', 'credit_limit': 119027, 'browse_history': [{'product_code': 'S18_1589', 'quantity': '4', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 471209), 'overall_product_quantity': 4, 'overall_in_shopping_cart': 4, 'total_different_products': 1}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '33e5cb5e-748d-465b-abe6-b6c32fd96eea', 'customer_number': 120, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 94783, 'browse_history': [{'product_code': 'S24_3949', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S10_2016', 'quantity': '6', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884281443413273917305762349058
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '33e5cb5e-748d-465b-abe6-b6c32fd96eea', 'customer_number': 120, 'city': 'Charleroi', 'country': 'Belgium', 'credit_limit': 94783, 'browse_history': [{'product_code': 'S24_3949', 'quantity': '3', 'in_shopping_cart': True}, {'product_code': 'S10_2016', 'quantity': '6', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 473042), 'overall_product_quantity': 9, 'overall_in_shopping_cart': 9, 'total_different_products': 2}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'fc2ea12c-76c6-46f8-8b77-703fb7e5f802', 'customer_number': 117, 'city': 'Lille', 'country': 'France', 'credit_limit': 94260, 'browse_history': [{'product_code': 'S18_3685', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S12_1099', 'quantity': '3', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884283861264913148763135016962
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': 'fc2ea12c-76c6-46f8-8b77-703fb7e5f802', 'customer_number': 117, 'city': 'Lille', 'country': 'France', 'credit_limit': 94260, 'browse_history': [{'product_code': 'S18_3685', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S12_1099', 'quantity': '3', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 474500), 'overall_product_quantity': 6, 'overall_in_shopping_cart': 0, 'total_different_products': 2}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '19bbe6fa-584f-47da-82ac-73c98ddd26e0', 'customer_number': 419, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': 96311, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S18_2319', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S18_1662', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S10_1678', 'quantity': '5', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884291114819830841485985579010
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '19bbe6fa-584f-47da-82ac-73c98ddd26e0', 'customer_number': 419, 'city': 'Bergen', 'country': 'Norway', 'credit_limit': 96311, 'browse_history': [{'product_code': 'S50_1392', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S18_2319', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S18_1662', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S10_1678', 'quantity': '5', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 482080), 'overall_product_quantity': 31, 'overall_in_shopping_cart': 21, 'total_different_products': 4}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '7cd8c504-0a1d-43a2-9c64-0f2ec879c2e5', 'customer_number': 305, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 68407, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_3856', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S700_3505', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '4', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884298368374748532422129745922
2024-09-21 20:28:20 root         INFO     Processed User Session {'session_id': '7cd8c504-0a1d-43a2-9c64-0f2ec879c2e5', 'customer_number': 305, 'city': 'Pasadena', 'country': 'USA', 'credit_limit': 68407, 'browse_history': [{'product_code': 'S12_4675', 'quantity': '5', 'in_shopping_cart': True}, {'product_code': 'S24_3856', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S700_3505', 'quantity': '2', 'in_shopping_cart': True}, {'product_code': 'S18_3482', 'quantity': '4', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 485121), 'overall_product_quantity': 17, 'overall_in_shopping_cart': 7, 'total_different_products': 4}
2024-09-21 20:28:20 root         INFO     Produced record 49656053247390747322299060887153650313467835458873458690 to Shard shardId-000000000000


2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '372ccdcc-309e-46a1-a9a5-837a0005e6ca', 'customer_number': 395, 'city': 'Lille', 'country': 'France', 'credit_limit': 64505, 'browse_history': [{'product_code': 'S12_3990', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S18_2625', 'quantity': '9', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884299577300568147326182359042
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '372ccdcc-309e-46a1-a9a5-837a0005e6ca', 'customer_number': 395, 'city': 'Lille', 'country': 'France', 'credit_limit': 64505, 'browse_history': [{'product_code': 'S12_3990', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S18_2625', 'quantity': '9', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 500567), 'overall_product_quantity': 16, 'overall_in_shopping_cart': 0, 'total_different_products': 2}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'ab3e1a28-5f49-4375-8a22-d0b9d9e214ec', 'customer_number': 432, 'city': 'Newark', 'country': 'USA', 'credit_limit': 122615, 'browse_history': [{'product_code': 'S700_1691', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_2824', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_1749', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S32_3522', 'quantity': '10', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884316502262042763542061383682
2024-09-21 20:28:20 root         INFO     Processed User Session {'session_id': 'ab3e1a28-5f49-4375-8a22-d0b9d9e214ec', 'customer_number': 432, 'city': 'Newark', 'country': 'USA', 'credit_limit': 122615, 'browse_history': [{'product_code': 'S700_1691', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_2824', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_1749', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S32_3522', 'quantity': '10', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 501765), 'overall_product_quantity': 19, 'overall_in_shopping_cart': 1, 'total_different_products': 4}
2024-09-21 20:28:20 root         INFO     Produced record 49656053247390747322299060887154859239287450088048164866 to Shard shardId-000000000000


2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'bc235369-78b7-47c2-b0bc-5659c5409cec', 'customer_number': 325, 'city': 'Münster', 'country': 'Germany', 'credit_limit': 119311, 'browse_history': [{'product_code': 'S24_2841', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2000', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S10_2016', 'quantity': '5', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884317711187862378308675043330
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': 'bc235369-78b7-47c2-b0bc-5659c5409cec', 'customer_number': 325, 'city': 'Münster', 'country': 'Germany', 'credit_limit': 119311, 'browse_history': [{'product_code': 'S24_2841', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_2000', 'quantity': '8', 'in_shopping_cart': False}, {'product_code': 'S10_2016', 'quantity': '5', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 515006), 'overall_product_quantity': 22, 'overall_in_shopping_cart': 5, 'total_different_products': 3}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'dd3b77ed-87ba-414c-b513-370e55471c42', 'customer_number': 416, 'city': 'Herzlia', 'country': 'Israel', 'credit_limit': 44511, 'browse_history': [{'product_code': 'S18_2870', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S24_1046', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '10', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884318920113681994174800330754
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': 'dd3b77ed-87ba-414c-b513-370e55471c42', 'customer_number': 416, 'city': 'Herzlia', 'country': 'Israel', 'credit_limit': 44511, 'browse_history': [{'product_code': 'S18_2870', 'quantity': '9', 'in_shopping_cart': True}, {'product_code': 'S24_1046', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '10', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 515135), 'overall_product_quantity': 23, 'overall_in_shopping_cart': 9, 'total_different_products': 3}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'a0297953-3f5f-4cb5-aefd-65cbdde54b4b', 'customer_number': 163, 'city': 'Espoo', 'country': 'Finland', 'credit_limit': 62713, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '5', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884323755816960453791010783234
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': 'a0297953-3f5f-4cb5-aefd-65cbdde54b4b', 'customer_number': 163, 'city': 'Espoo', 'country': 'Finland', 'credit_limit': 62713, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '5', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 515256), 'overall_product_quantity': 5, 'overall_in_shopping_cart': 0, 'total_different_products': 1}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'cba2c5c6-50c7-45b9-9fa7-e738b0efa753', 'customer_number': 202, 'city': 'White Plains', 'country': 'USA', 'credit_limit': 68885, 'browse_history': [{'product_code': 'S12_3380', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S18_2238', 'quantity': '2', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884324964742780068488904966146
2024-09-21 20:28:20 root         INFO     Processed User Session {'session_id': 'cba2c5c6-50c7-45b9-9fa7-e738b0efa753', 'customer_number': 202, 'city': 'White Plains', 'country': 'USA', 'credit_limit': 68885, 'browse_history': [{'product_code': 'S12_3380', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S18_2238', 'quantity': '2', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 515362), 'overall_product_quantity': 7, 'overall_in_shopping_cart': 0, 'total_different_products': 2}
2024-09-21 20:28:20 root         INFO     Produced record 49656053247390747322299060887156068165107064717222871042 to Shard shardId-000000000000


2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': 'f5852a17-dc2a-4c23-997e-7d0aefc7746d', 'customer_number': 187, 'city': 'Milan', 'country': 'Italy', 'credit_limit': 100533, 'browse_history': [{'product_code': 'S700_2824', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S24_4620', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S12_4675', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_4668', 'quantity': '10', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884332218297697761624072388610
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': 'f5852a17-dc2a-4c23-997e-7d0aefc7746d', 'customer_number': 187, 'city': 'Milan', 'country': 'Italy', 'credit_limit': 100533, 'browse_history': [{'product_code': 'S700_2824', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S24_4620', 'quantity': '5', 'in_shopping_cart': False}, {'product_code': 'S12_4675', 'quantity': '4', 'in_shopping_cart': False}, {'product_code': 'S18_4668', 'quantity': '10', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 527221), 'overall_product_quantity': 20, 'overall_in_shopping_cart': 11, 'total_different_products': 4}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '3153e624-5041-4427-aad1-c7cfcb633718', 'customer_number': 252, 'city': 'Cambridge', 'country': 'USA', 'credit_limit': 124658, 'browse_history': [{'product_code': 'S12_4473', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S24_4278', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_1749', 'quantity': '5', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884334636149336991981933428738
2024-09-21 20:28:20 root         INFO     Processed User Session {'session_id': '3153e624-5041-4427-aad1-c7cfcb633718', 'customer_number': 252, 'city': 'Cambridge', 'country': 'USA', 'credit_limit': 124658, 'browse_history': [{'product_code': 'S12_4473', 'quantity': '10', 'in_shopping_cart': False}, {'product_code': 'S24_4278', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_1749', 'quantity': '5', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 528567), 'overall_product_quantity': 17, 'overall_in_shopping_cart': 0, 'total_different_products': 3}
2024-09-21 20:28:20 root         INFO     Produced record 49656053247390747322299060887157277090926679346397577218 to Shard shardId-000000000000


2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '88b78c03-367c-4bf3-8673-8e92d53c9e96', 'customer_number': 229, 'city': 'Aachen', 'country': 'Germany', 'credit_limit': 49036, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_3167', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '3', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884337054000976223026989236226
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '88b78c03-367c-4bf3-8673-8e92d53c9e96', 'customer_number': 229, 'city': 'Aachen', 'country': 'Germany', 'credit_limit': 49036, 'browse_history': [{'product_code': 'S32_3207', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_3167', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S24_4048', 'quantity': '3', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 539552), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 1, 'total_different_products': 3}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '163250db-4155-4564-86bf-8856e9b3477e', 'customer_number': 140, 'city': 'Milan', 'country': 'Italy', 'credit_limit': 74799, 'browse_history': [{'product_code': 'S32_3522', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2466', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3371', 'quantity': '6', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884340680778435068288902889474
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '163250db-4155-4564-86bf-8856e9b3477e', 'customer_number': 140, 'city': 'Milan', 'country': 'Italy', 'credit_limit': 74799, 'browse_history': [{'product_code': 'S32_3522', 'quantity': '7', 'in_shopping_cart': True}, {'product_code': 'S700_2466', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S24_3371', 'quantity': '6', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 540915), 'overall_product_quantity': 15, 'overall_in_shopping_cart': 13, 'total_different_products': 3}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '55440ddc-9f32-49bb-aca0-b2fd0a02da56', 'customer_number': 322, 'city': 'Oslo', 'country': 'Norway', 'credit_limit': -6960, 'browse_history': [{'product_code': 'S24_3816', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S18_2581', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_1938', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S18_4600', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S24_1628', 'quantity': '5', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884341889704254682986797072386
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '55440ddc-9f32-49bb-aca0-b2fd0a02da56', 'customer_number': 322, 'city': 'Oslo', 'country': 'Norway', 'credit_limit': -6960, 'browse_history': [{'product_code': 'S24_3816', 'quantity': '1', 'in_shopping_cart': False}, {'product_code': 'S18_2581', 'quantity': '1', 'in_shopping_cart': True}, {'product_code': 'S700_1938', 'quantity': '6', 'in_shopping_cart': False}, {'product_code': 'S18_4600', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S24_1628', 'quantity': '5', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 541868), 'overall_product_quantity': 21, 'overall_in_shopping_cart': 14, 'total_different_products': 5}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '5ab26f02-17c3-4bdc-b7ad-9dc49018daa0', 'customer_number': 188, 'city': 'Luleå', 'country': 'Sweden', 'credit_limit': 85463, 'browse_history': [{'product_code': 'S50_1341', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S10_4698', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S18_2432', 'quantity': '2', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884351561110811604486960709634
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '5ab26f02-17c3-4bdc-b7ad-9dc49018daa0', 'customer_number': 188, 'city': 'Luleå', 'country': 'Sweden', 'credit_limit': 85463, 'browse_history': [{'product_code': 'S50_1341', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S10_4698', 'quantity': '8', 'in_shopping_cart': True}, {'product_code': 'S18_2432', 'quantity': '2', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 543594), 'overall_product_quantity': 19, 'overall_in_shopping_cart': 10, 'total_different_products': 3}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '3be35525-8283-4867-a234-3fdcc1cc6708', 'customer_number': 460, 'city': 'Lyon', 'country': 'France', 'credit_limit': 72950, 'browse_history': [{'product_code': 'S18_3233', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S32_1374', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S12_1666', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S32_2509', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_2319', 'quantity': '7', 'in_shopping_cart': False}]} from Shard shardId-000000000000 at position 49656043659497559646837069884367277146466601744337993730
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '3be35525-8283-4867-a234-3fdcc1cc6708', 'customer_number': 460, 'city': 'Lyon', 'country': 'France', 'credit_limit': 72950, 'browse_history': [{'product_code': 'S18_3233', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S32_1374', 'quantity': '9', 'in_shopping_cart': False}, {'product_code': 'S12_1666', 'quantity': '3', 'in_shopping_cart': False}, {'product_code': 'S32_2509', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_2319', 'quantity': '7', 'in_shopping_cart': False}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 545214), 'overall_product_quantity': 28, 'overall_in_shopping_cart': 0, 'total_different_products': 5}}
2024-09-21 20:28:20 root         INFO     Read User Session {'session_id': '6a9d66f4-379f-4788-b91f-c2b846b74f2c', 'customer_number': 397, 'city': 'Bergamo', 'country': 'Italy', 'credit_limit': 44337, 'browse_history': [{'product_code': 'S12_3891', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_1046', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_1589', 'quantity': '4', 'in_shopping_cart': True}]} from Shard shardId-000000000000 at position 49656043659497559646837069884369694998105831896040603650
2024-09-21 20:28:20 root         ERROR    {'message': 'Error producing record', 'error': "'International'", 'record': {'session_id': '6a9d66f4-379f-4788-b91f-c2b846b74f2c', 'customer_number': 397, 'city': 'Bergamo', 'country': 'Italy', 'credit_limit': 44337, 'browse_history': [{'product_code': 'S12_3891', 'quantity': '7', 'in_shopping_cart': False}, {'product_code': 'S24_1046', 'quantity': '2', 'in_shopping_cart': False}, {'product_code': 'S18_1589', 'quantity': '4', 'in_shopping_cart': True}], 'processing_timestamp': datetime.datetime(2024, 9, 21, 20, 28, 20, 546597), 'overall_product_quantity': 13, 'overall_in_shopping_cart': 4, 'total_different_products': 3}}
